,0
675,300017
676,300023
677,300027
678,300036
679,300037
680,300039
681,300041
682,300043
683,300044
684,300049
685,300053
686,300056
687,300057
688,300058
689,600208
690,300066
691,300068
692,300069
693,300071
694,300075
695,300083
696,300088
697,300096
698,300107
699,300109
700,300112
701,300113
702,300119
703,300120
704,300122
705,300129
706,300133
707,300134
708,300137
709,300138
710,300142
711,300156
712,300157
713,300169
714,300180
715,300181
716,300187
717,300189
718,300193
719,300194
720,300196
721,300200
722,300201
723,300202
724,300207
725,300211
726,300212
727,300214
728,300215
729,300221
730,300222
731,300223
732,300224
733,300230
734,300234
735,300235
736,300243
737,300244
738,300251
739,300254
740,300256
741,300257
742,300258
743,300259
744,300261
745,300267
746,300268
747,300269
748,300276
749,300282
750,300287
751,300289
752,300296
753,300297
754,300298
755,300299
756,300303
757,300305
758,300315
759,300318
760,300319
761,300324
762,300326
763,300327
764,300330
765,300332
766,300341
767,300342
768,300345
769,300348
770,300349
771,300350
772,300353
773,300355
774,300362
775,300363
776,300368
777,300369
778,300373
779,300375
780,300377
781,300380
782,300382
783,300387
784,300384
785,600275
786,600277
787,600278
788,600280
789,600281
790,600284
791,2726
792,600285
793,603555
794,600291
795,600295
796,600297
797,603609
798,600298
799,600305
800,600307
801,600309
802,600313
803,600315
804,603699
805,600318
806,600325
807,600326
808,600330
809,600331
810,600332
811,600333
812,600335
813,600350
814,600351
815,600360
816,600362
817,600366
818,600367
819,600370
820,603993
821,600375
822,600378
823,600379
824,600380
825,600381
826,600382
827,600383
828,600387
829,600388
830,600389
831,600390
832,600392
833,600393
834,600395
835,600396
836,600400
837,600408
838,600415
839,600419
840,600421
841,600422
842,600426
843,600428
844,600429
845,600433
846,600436
847,600446
848,600449
849,600455
850,600458
851,600459
852,600461
853,600466
854,600475
855,600477
856,600481
857,600486
858,600497
859,600498
860,600500
861,600503
862,600509
863,600515
864,600517
865,600518
866,600521
867,600527
868,600528
869,600535
870,600536
871,600539
872,600543
873,600547
874,600549
875,600555
876,600557
877,600559
878,600565
879,600569
880,600571
881,600572
882,600575
883,600581
884,600583
885,600585
886,600586
887,600588
888,600590
889,600594
890,600595
891,600596
892,600600
893,600601
894,600602
895,600615
896,600616
897,600617
898,600620
899,600621
900,600623
901,600628
902,600629
903,600636
904,600637
905,600638
906,600640
907,600647
908,600648
909,600649
910,600651
911,600654
912,600660
913,600662
914,600663
915,600668
916,600676
917,600678
918,600679
919,600685
920,600688
921,600689
922,600693
923,600694
924,600695
925,600696
926,600697
927,600703
928,600705
929,600706
930,600708
931,600714
932,600719
933,600720
934,600722
935,600723
936,600726
937,600728
938,600731
