Date,Open,High,Low,Close,Volume,Adj Close
12/28/2015,5032.290039,5116.990234,4999.069824,5007.410156,1344782500,5007.410156
12/21/2015,4957.529785,5063.279785,4928.930176,5048.490234,1382110000,5048.490234
12/14/2015,4932.609863,5088.580078,4871.589844,4923.080078,2393962000,4923.080078
12/7/2015,5139.459961,5139.779785,4928.669922,4933.470215,1931812000,4933.470215
11/30/2015,5139.580078,5176.77002,5011.720215,5142.27002,2061076000,5142.27002
11/23/2015,5106.720215,5134.350098,5050.140137,5127.52002,1486557500,5127.52002
11/16/2015,4916.140137,5112.459961,4908.660156,5104.919922,1851806000,5104.919922
11/9/2015,5128.939941,5133.439941,4925.350098,4927.879883,1850242000,4927.879883
11/2/2015,5065.640137,5163.470215,5061.470215,5147.120117,2026768000,5147.120117
10/26/2015,5030.799805,5095.689941,5009.069824,5053.75,1966272000,5053.75
10/19/2015,4873.540039,5048.549805,4836.459961,5031.859863,1912264000,5031.859863
10/12/2015,4839.790039,4886.950195,4771.620117,4886.689941,1721906000,4886.689941
10/5/2015,4742.129883,4841.379883,4711.790039,4830.470215,2005744000,4830.470215
9/28/2015,4665.060059,4707.779785,4487.060059,4707.779785,2279344000,4707.779785
9/21/2015,4851.97998,4881.459961,4659.47998,4686.5,1943418000,4686.5
9/14/2015,4831.97998,4960.870117,4791.080078,4827.22998,1977048000,4827.22998
9/8/2015,4769.720215,4862.879883,4746.52002,4822.339844,1815327500,4822.339844
8/31/2015,4798.680176,4824.609863,4614.910156,4683.919922,1879976000,4683.919922
8/24/2015,4351.609863,4836.779785,4292.140137,4828.319824,2611744000,4828.319824
8/17/2015,5032.339844,5092.689941,4706.040039,4706.040039,1930658000,4706.040039
8/10/2015,5081.720215,5112.470215,4945.790039,5048.240234,1781340000,5048.240234
8/3/2015,5134.339844,5175.259766,5006.149902,5043.540039,1990116000,5043.540039
7/27/2015,5055.919922,5155.02002,5025.609863,5128.279785,1938564000,5128.279785
7/20/2015,5223.180176,5231.939941,5084.509766,5088.629883,1926434000,5088.629883
7/13/2015,5037.27002,5210.160156,5036.680176,5210.140137,1749226000,5210.140137
7/6/2015,4963.799805,5020.709961,4901.509766,4997.700195,1851386000,4997.700195
6/29/2015,5021.209961,5051.009766,4956.22998,5009.209961,1841345000,5009.209961
6/22/2015,5147.870117,5164.359863,5060.819824,5080.509766,2064176000,5080.509766
6/15/2015,5011.790039,5143.319824,4985.939941,5117,1900830000,5117
6/8/2015,5066.649902,5101.390137,4974.620117,5051.100098,1662476000,5051.100098
6/1/2015,5094.939941,5114.600098,5025.52002,5068.459961,1828280000,5068.459961
5/26/2015,5076.910156,5111.540039,5016.740234,5070.029785,1826772500,5070.029785
5/18/2015,5040.919922,5103.839844,5037.540039,5089.359863,1682054000,5089.359863
5/11/2015,5003.259766,5062.649902,4931.600098,5048.290039,1703750000,5048.290039
5/4/2015,5018.350098,5043.620117,4888.169922,5003.549805,1980806000,5003.549805
4/27/2015,5104.359863,5119.830078,4921.549805,5005.390137,2039992000,5005.390137
4/20/2015,4958.069824,5100.370117,4952.680176,5092.080078,1763550000,5092.080078
4/13/2015,5001.549805,5024.25,4912.330078,4931.810059,1711824000,4931.810059
4/6/2015,4855.939941,4996.080078,4852.910156,4995.97998,1649740000,4995.97998
3/30/2015,4921.779785,4948.459961,4844.390137,4886.939941,1763702500,4886.939941
3/23/2015,5020.600098,5032.47998,4825.930176,4891.220215,1824736000,4891.220215
3/16/2015,4897.27002,5042.140137,4889.089844,5026.419922,1984412000,5026.419922
3/9/2015,4936.080078,4950.470215,4842.799805,4871.759766,1825012000,4871.759766
3/2/2015,4973.430176,5008.569824,4918.629883,4927.370117,1883452000,4927.370117
2/23/2015,4953.100098,4989.25,4939.560059,4963.529785,1859888000,4963.529785
2/17/2015,4889.990234,4957.02002,4880.640137,4955.970215,1697580000,4955.970215
2/9/2015,4723.72998,4893.839844,4719.609863,4893.839844,1847950000,4893.839844
2/2/2015,4650.600098,4787.180176,4580.459961,4744.399902,2088716000,4744.399902
1/26/2015,4752.359863,4774.180176,4601.759766,4635.240234,2033058000,4635.240234
1/20/2015,4655.839844,4771.180176,4601.100098,4757.879883,1833210000,4757.879883
1/12/2015,4714.069824,4751.339844,4563.109863,4634.379883,2008946000,4634.379883
1/5/2015,4700.339844,4744.709961,4567.589844,4704.069824,1948204000,4704.069824
12/29/2014,4801.259766,4813.720215,4698.109863,4726.810059,1361922500,4726.810059
12/22/2014,4759.040039,4814.950195,4757.799805,4806.859863,1242715000,4806.859863
12/15/2014,4679.669922,4782.129883,4547.310059,4765.379883,2423078000,4765.379883
12/8/2014,4769.759766,4793.240234,4653.600098,4653.600098,1905966000,4653.600098
12/1/2014,4777.72998,4788.97998,4724.620117,4780.759766,1791694000,4780.759766
11/24/2014,4725.169922,4810.859863,4723.620117,4791.629883,1412450000,4791.629883
11/17/2014,4678.439941,4751.600098,4653.330078,4712.970215,1702812000,4712.970215
11/10/2014,4635.100098,4703.100098,4626.490234,4688.540039,1772858000,4688.540039
11/3/2014,4633.709961,4654.189941,4594.919922,4632.529785,1987968000,4632.529785
10/27/2014,4469.02002,4641.509766,4450.290039,4630.740234,2039174000,4630.740234
10/20/2014,4254.160156,4486.259766,4248.220215,4483.720215,1877730000,4483.720215
10/13/2014,4274.910156,4303.819824,4116.600098,4258.439941,2574940000,4258.439941
10/6/2014,4492.399902,4496.259766,4276.240234,4276.240234,2284240000,4276.240234
9/29/2014,4465.839844,4522.060059,4367.740234,4475.620117,2038780000,4475.620117
9/22/2014,4568.450195,4568.870117,4466.640137,4512.189941,1814320000,4512.189941
9/15/2014,4567.450195,4610.569824,4499.870117,4579.790039,2113982000,4579.790039
9/8/2014,4579.060059,4600.399902,4544.439941,4567.600098,1784886000,4567.600098
9/2/2014,4592.419922,4610.140137,4542.740234,4582.899902,1781765000,4582.899902
8/25/2014,4563.720215,4580.27002,4546.620117,4580.27002,1381224000,4580.27002
8/18/2014,4490.529785,4547.240234,4486.439941,4538.549805,1472698000,4538.549805
8/11/2014,4387.379883,4482.470215,4371.839844,4464.930176,1611814000,4464.930176
8/4/2014,4365.620117,4395.379883,4321.890137,4370.899902,1807656000,4370.899902
7/28/2014,4451.120117,4476.060059,4324.02002,4352.640137,2014042000,4352.640137
7/21/2014,4421.200195,4485.5,4404.509766,4449.560059,1767718000,4449.560059
7/14/2014,4441.390137,4451.930176,4352.22998,4432.149902,1857970000,4432.149902
7/7/2014,4477.740234,4478.02002,4351.040039,4415.490234,1768868000,4415.490234
6/30/2014,4398.370117,4485.930176,4396.589844,4485.930176,1597967500,4485.930176
6/23/2014,4368.959961,4399.870117,4339.410156,4397.930176,2193890000,4397.930176
6/16/2014,4303.930176,4372.180176,4296.259766,4368.040039,1983396000,4368.040039
6/9/2014,4324.350098,4346.740234,4284.529785,4310.649902,1802278000,4310.649902
6/2/2014,4247.959961,4322.509766,4207.609863,4321.399902,1700688000,4321.399902
5/27/2014,4206.439941,4252.080078,4204.720215,4242.620117,1803782500,4242.620117
5/19/2014,4080.330078,4186.580078,4075.699951,4185.810059,1695046000,4185.810059
5/12/2014,4092.840088,4155.129883,4035.959961,4090.590088,1878406000,4090.590088
5/5/2014,4099.25,4138.339844,4021.050049,4071.870117,2057182000,4071.870117
4/28/2014,4091.810059,4149.560059,4014.169922,4123.899902,2066558000,4123.899902
4/21/2014,4105.370117,4177.160156,4068.100098,4075.560059,1886628000,4075.560059
4/14/2014,4038.060059,4110.459961,3946.030029,4095.52002,2030355000,4095.52002
4/7/2014,4110.919922,4185.189941,3991.639893,3999.72998,2279366000,3999.72998
3/31/2014,4185.629883,4286.089844,4118.709961,4127.72998,2223944000,4127.72998
3/24/2014,4289.490234,4289.490234,4131.810059,4155.759766,2292272000,4155.759766
3/17/2014,4274.220215,4344.390137,4268.339844,4276.790039,2171812000,4276.790039
3/10/2014,4332.620117,4354.430176,4241.939941,4245.399902,2260352000,4245.399902
3/3/2014,4261.419922,4371.709961,4239.649902,4336.220215,2216630000,4336.220215
2/24/2014,4273.319824,4342.589844,4272.109863,4308.120117,2214722000,4308.120117
2/18/2014,4253.709961,4284.850098,4226.75,4263.410156,1993490000,4263.410156
2/10/2014,4125.120117,4250.910156,4122.609863,4244.02002,1994662000,4244.02002
2/3/2014,4105.060059,4126.509766,3968.189941,4125.859863,2191460000,4125.859863
1/27/2014,4132.220215,4136.459961,4044.76001,4103.879883,2238058000,4103.879883
1/21/2014,4222.97998,4246.549805,4128.169922,4128.169922,2185597500,4128.169922
1/13/2014,4167.410156,4219.279785,4097.990234,4197.580078,2122902000,4197.580078
1/6/2014,4137.029785,4182.740234,4103.75,4174.669922,2254824000,4174.669922
12/30/2013,4153.580078,4177.72998,4124.959961,4131.910156,1539227500,4131.910156
12/23/2013,4136.149902,4175.359863,4127.720215,4156.589844,1254340000,4156.589844
12/16/2013,4019.370117,4111.930176,3979.590088,4104.740234,2261352000,4104.740234
12/9/2013,4073.75,4081.780029,3992.290039,4000.97998,1802822000,4000.97998
12/2/2013,4065.659912,4069.860107,4004.76001,4062.52002,1810088000,4062.52002
11/25/2013,4004.370117,4069.699951,3987.159912,4059.889893,1508490000,4059.889893
11/18/2013,3990.060059,3994.969971,3911.610107,3991.649902,1742680000,3991.649902
11/11/2013,3913.639893,3985.969971,3899.310059,3985.969971,1812784000,3985.969971
11/4/2013,3932.600098,3955.969971,3855.070068,3919.22998,2011546000,3919.22998
10/28/2013,3942.560059,3966.709961,3904.199951,3922.040039,1962860000,3922.040039
10/21/2013,3922.649902,3961.100098,3887.669922,3943.360107,1952026000,3943.360107
10/14/2013,3767.48999,3914.929932,3766.280029,3914.280029,1772590000,3914.280029
10/7/2013,3776.639893,3800.080078,3650.030029,3791.870117,1891806000,3791.870117
9/30/2013,3737.600098,3819.280029,3734.73999,3807.75,1793200000,3807.75
9/23/2013,3786.840088,3795.719971,3745.540039,3781.590088,1775808000,3781.590088
9/16/2013,3755,3798.76001,3712.469971,3774.72998,1839474000,3774.72998
9/9/2013,3675.120117,3731.840088,3675.120117,3722.179932,1668658000,3722.179932
9/3/2013,3622.639893,3677.070068,3593.620117,3660.01001,1670570000,3660.01001
8/26/2013,3661.810059,3684.219971,3573.570068,3589.870117,1417628000,3589.870117
8/19/2013,3601.879883,3660.659912,3589.02002,3657.790039,1311026000,3657.790039
8/12/2013,3645.780029,3691.060059,3598.649902,3602.780029,1583892000,3602.780029
8/5/2013,3682.669922,3694.189941,3633.590088,3660.110107,1565072000,3660.110107
7/29/2013,3604.290039,3689.590088,3592.800049,3689.590088,1759648000,3689.590088
7/22/2013,3599.870117,3613.330078,3573.530029,3613.159912,1796810000,3613.159912
7/15/2013,3601.090088,3624.540039,3578.570068,3587.610107,1621772000,3587.610107
7/8/2013,3493.810059,3600.080078,3475.389893,3600.080078,1616522000,3600.080078
7/1/2013,3430.47998,3479.459961,3415.22998,3479.379883,1365580000,3479.379883
6/24/2013,3326.379883,3422.199951,3294.949951,3403.25,2135946000,3403.25
6/17/2013,3449.969971,3488.310059,3326.860107,3357.25,1973904000,3357.25
6/10/2013,3475.679932,3484.810059,3387.610107,3423.560059,1557972000,3423.560059
6/3/2013,3460.76001,3482.75,3378.23999,3469.219971,1837828000,3469.219971
5/28/2013,3497.899902,3514.800049,3450.399902,3455.909912,1812077500,3455.909912
5/20/2013,3490.459961,3532.040039,3422.51001,3459.139893,1794250000,3459.139893
5/13/2013,3429.530029,3499.199951,3426.669922,3498.969971,1810862000,3498.969971
5/6/2013,3382.330078,3436.600098,3381.040039,3436.580078,1696512000,3436.580078
4/29/2013,3290.310059,3388.120117,3289.419922,3378.629883,1793206000,3378.629883
4/22/2013,3217.399902,3301.280029,3198.73999,3279.26001,1757180000,3279.26001
4/15/2013,3277.580078,3283.399902,3154.959961,3206.060059,1740460000,3206.060059
4/8/2013,3207.149902,3306.949951,3195.570068,3294.949951,1578374000,3294.949951
4/1/2013,3268.629883,3270.22998,3168.879883,3203.860107,1589176000,3203.860107
3/25/2013,3255.850098,3270.300049,3222.47998,3267.52002,1541860000,3267.52002
3/18/2013,3215.709961,3257.98999,3205.419922,3245,1642786000,3245
3/11/2013,3237.73999,3260.620117,3229.919922,3249.070068,1767280000,3249.070068
3/4/2013,3159.459961,3248.699951,3154.790039,3244.370117,1732232000,3244.370117
2/25/2013,3180.590088,3186.25,3105.360107,3169.73999,1879756000,3169.73999
2/19/2013,3197.459961,3213.600098,3118.620117,3161.820068,1869942500,3161.820068
2/11/2013,3192.530029,3206.209961,3182.189941,3192.030029,1788838000,3192.030029
2/4/2013,3161.719971,3196.889893,3130.570068,3193.870117,1960002000,3193.870117
1/28/2013,3152.169922,3183.139893,3133.110107,3179.100098,2040876000,3179.100098
1/22/2013,3135.629883,3161.060059,3121.540039,3149.709961,1864040000,3149.709961
1/14/2013,3113.649902,3144.050049,3093.320068,3134.709961,1809576000,3134.709961
1/7/2013,3089.169922,3127.719971,3076.600098,3125.629883,1741254000,3125.629883
12/31/2012,2955.449951,3118.179932,2953.52002,3101.659912,1795772500,3101.659912
12/24/2012,3013.889893,3018.649902,2951.040039,2960.310059,1039935000,2960.310059
12/17/2012,2975.5,3061.820068,2973.540039,3021.01001,2080220000,3021.01001
12/10/2012,2973.189941,3035.189941,2963.800049,2971.330078,1765496000,2971.330078
12/3/2012,3029.209961,3030.280029,2958.26001,2978.040039,1715388000,2978.040039
11/26/2012,2961.02002,3017.179932,2935.879883,3010.23999,1816652000,3010.23999
11/19/2012,2886,2967.189941,2884.75,2966.850098,1394700000,2966.850098
11/12/2012,2916.379883,2920.01001,2810.800049,2853.129883,1900024000,2853.129883
11/5/2012,2983.030029,3024.439941,2889.810059,2904.870117,1803466000,2904.870117
10/31/2012,2986.850098,3033.850098,2964.939941,2982.129883,1840503300,2982.129883
10/22/2012,3005.919922,3020.610107,2961.159912,2987.949951,1842866000,2987.949951
10/15/2012,3053.209961,3112.449951,3000.27002,3005.620117,1868032000,3005.620117
10/8/2012,3121.330078,3125.48999,3039.580078,3044.110107,1548166000,3044.110107
10/1/2012,3130.310059,3171.459961,3101.639893,3136.189941,1652984000,3136.189941
9/24/2012,3155.350098,3176.300049,3080.280029,3116.22998,1794956000,3116.22998
9/17/2012,3183.399902,3196.929932,3156.459961,3179.959961,1875778000,3179.959961
9/10/2012,3131.340088,3195.669922,3098.820068,3183.949951,1741106000,3183.949951
9/4/2012,3063.25,3139.610107,3040.23999,3136.419922,1665132500,3136.419922
8/27/2012,3083.620117,3087.23999,3040.590088,3066.959961,1328514000,3066.959961
8/20/2012,3072.659912,3100.540039,3042.219971,3069.790039,1443700000,3069.790039
8/13/2012,3018.27002,3076.719971,2999.120117,3076.590088,1607202000,3076.590088
8/6/2012,2978.159912,3028.610107,2974.22998,3020.860107,1707302000,3020.860107
7/30/2012,2959.070068,2977.409912,2890.850098,2967.899902,1712158000,2967.899902
7/23/2012,2877.51001,2961.870117,2839.76001,2958.090088,1844766000,2958.090088
7/16/2012,2903.030029,2976.219971,2871.649902,2925.300049,1710402000,2925.300049
7/9/2012,2934.48999,2953.469971,2837.719971,2908.469971,1581886000,2908.469971
7/2/2012,2938.409912,2987.939941,2921.370117,2937.330078,1428995000,2937.330078
6/25/2012,2863.889893,2935.129883,2818.189941,2935.050049,1724642000,2935.050049
6/18/2012,2872.48999,2942.280029,2853.860107,2892.419922,2070192000,2892.419922
6/11/2012,2882.48999,2882.959961,2802.379883,2872.800049,1666016000,2872.800049
6/4/2012,2747.610107,2873.590088,2726.679932,2858.419922,1637606000,2858.419922
5/29/2012,2853.27002,2882.830078,2747.23999,2747.47998,1509742500,2747.47998
5/21/2012,2782.550049,2867.340088,2774.76001,2837.530029,1738976000,2837.530029
5/14/2012,2907.780029,2930.679932,2774.449951,2778.790039,2030600000,2778.790039
5/7/2012,2940.409912,2970.199951,2900.060059,2933.820068,1940578000,2933.820068
4/30/2012,3060.060059,3085.399902,2956.340088,2956.340088,1825146000,2956.340088
4/23/2012,2969,3076.439941,2946.040039,3069.199951,1744158000,3069.199951
4/16/2012,3027.570068,3058.719971,2975.870117,3000.449951,1735172000,3000.449951
4/9/2012,3037.280029,3059.26001,2987,3011.330078,1565964000,3011.330078
4/2/2012,3085.939941,3128.25,3052.580078,3080.5,1733587500,3080.5
3/26/2012,3090.52002,3134.169922,3069.810059,3091.570068,1728990000,3091.570068
3/19/2012,3057.23999,3090.080078,3044.669922,3067.919922,1512624000,3067.919922
3/12/2012,2989.050049,3060.820068,2973.649902,3055.26001,1696002000,3055.26001
3/5/2012,2969.72998,2993.97998,2900.280029,2988.340088,1667882000,2988.340088
2/27/2012,2945.870117,3000.110107,2933.300049,2976.189941,1881030000,2976.189941
2/21/2012,2957.300049,2970.879883,2922.959961,2963.75,1734855000,2963.75
2/13/2012,2926.209961,2962.780029,2911.330078,2951.780029,1891944000,2951.780029
2/6/2012,2892.52002,2930.679932,2885.169922,2903.879883,1878190000,2903.879883
1/30/2012,2790.399902,2908.129883,2782.439941,2905.659912,1929512000,2905.659912
1/23/2012,2786.209961,2834.300049,2766.340088,2816.550049,1779598000,2816.550049
1/17/2012,2736.340088,2793.350098,2721.030029,2786.699951,1885690000,2786.699951
1/9/2012,2682.97998,2726.429932,2662.959961,2710.669922,1720550000,2710.669922
1/3/2012,2657.389893,2682.120117,2627.22998,2674.219971,1706720000,2674.219971
